# CAPES - CIÊNCIAS EXATAS E DA TERRA - CIÊNCIA DA COMPUTAÇÃO
codigoPrograma;PROGRAMA;IES;UF;M;D;F
22001018031P5;CIÊNCIAS DA COMPUTAÇÃO;UFC;CE;5;5;-
32001010004P6;CIÊNCIAS DA COMPUTAÇÃO;UFMG;MG;7;7;-
25001019004P6;CIÊNCIAS DA COMPUTAÇÃO;UFPE;PE;6;6;-
25001019062P6;CIÊNCIAS DA COMPUTAÇÃO;UFPE;PE;-;-;3
41001010025P2;CIÊNCIAS DA COMPUTAÇÃO;UFSC;SC;4;4;-
33002045004P1;CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL;USP/SC;SP;6;6;-
31003010046P4;COMPUTAÇÃO;UFF;RJ;5;5;-
42001013004P4;COMPUTAÇÃO;UFRGS;RS;7;7;-
42003016038P9;COMPUTAÇÃO;UFPEL;RS;3;-;-
42004012022P1;COMPUTAÇÃO;FURG;RS;3;-;-
41005015010P7;COMPUTAÇÃO;UNIVALI;SC;4;-;-
22003010016P9;COMPUTAÇÃO APLICADA;UECE;CE;-;-;3
53001010098P3;COMPUTAÇÃO APLICADA;UNB;DF;-;-;3
51001012038P1;COMPUTAÇÃO APLICADA;UFMS;MS;-;-;3
40006018011P7;COMPUTAÇÃO APLICADA;UTFPR;PR;-;-;3
42007011006P5;COMPUTAÇÃO APLICADA;UNISINOS;RS;4;-;-
42009014011P1;COMPUTAÇÃO APLICADA;FUPF;RS;-;-;3
41002016023P2;COMPUTAÇÃO APLICADA;UDESC;SC;3;-;-
25004018011P1;ENGENHARIA DA COMPUTAÇÃO;FESP/UPE;PE;3;-;-
20002017004P9;ENGENHARIA DE COMPUTAÇÃO E SISTEMAS;UEMA;MA;-;-;3
31001017004P3;ENGENHARIA DE SISTEMAS E COMPUTAÇÃO;UFRJ;RJ;7;7;-
25019015001P0;ENGENHARIA DE SOFTWARE;CESAR;PE;-;-;3
23001011071P0;ENGENHARIA DE SOFTWARE;UFRN;RN;-;-;3
26001012035P1;INFORMÁTICA;UFAL;AL;3;-;-
12001015012P2;INFORMÁTICA;UFAM;AM;5;5;-
53001010054P6;INFORMÁTICA;UNB;DF;4;4;-
30001013007P0;INFORMÁTICA;UFES;ES;4;4;-
32008015011P7;INFORMÁTICA;PUC/MG;MG;4;-;-
24001015047P4;INFORMÁTICA;UFPB/J.P.;PB;3;-;-
40001016034P5;INFORMÁTICA;UFPR;PR;4;4;-
40003019004P1;INFORMÁTICA;PUC/PR;PR;4;4;-
40006018025P8;INFORMÁTICA;UTFPR;PR;-;-;3
31001017110P8;INFORMÁTICA;UFRJ;RJ;4;4;-
31005012004P9;INFORMÁTICA;PUC-RIO;RJ;7;7;-
31021018009P9;INFORMÁTICA;UNIRIO;RJ;4;4;-
42002010036P3;INFORMÁTICA;UFSM;RS;3;-;-
22002014002P1;INFORMÁTICA APLICADA;UNIFOR;CE;4;4;-
25003011032P2;INFORMÁTICA APLICADA;UFRPE;PE;3;-;-
33002010214P0;SISTEMAS DE INFORMAÇÃO;USP;SP;3;-;-
28013018005P5;SISTEMAS E COMPUTAÇÃO;UNIFACS;BA;3;-;-
31007015009P3;SISTEMAS E COMPUTAÇÃO;IME;RJ;3;-;-
23001011022P9;SISTEMAS E COMPUTAÇÃO;UFRN;RN;5;5;-


CódigoPrograma;homepage;docentes;LinhasPesquisa;DissertaçãoTese;Disciplina
28001010095P3;http://wiki.dcc.ufba.br/PMCC/;http://wiki.dcc.ufba.br/PMCC/CorpoDocente;http://wiki.dcc.ufba.br/PMCC/LinhasPesquisa;-;-
22003010018P1;http://www.uece.br/macc/;http://www.uece.br/macc/index.php/corpo-docente;http://www.uece.br/macc/index.php/linhas-de-pesquisa;http://www.uece.br/macc/index.php/dissertacoes;-
22008012004P2;http://ppgcc.ifce.edu.br/;http://ppgcc.ifce.edu.br/?page_id=10;http://ppgcc.ifce.edu.br/?page_id=26;-;http://ppgcc.ifce.edu.br/?page_id=49
52001016027P2;http://www.inf.ufg.br/mestrado/;http://www.inf.ufg.br/mestrado/docentes;http://www.inf.ufg.br/mestrado/linhas-pesquisa;http://www.inf.ufg.br/mestrado/dissertacoes;-
20001010022P0;http://www.ppgcc.ufma.br/;http://www.ppgcc.ufma.br/index.php?option=com_content&view=article&id=2&Itemid=3;http://www.ppgcc.ufma.br/index.php?option=com_content&view=article&id=1&Itemid=2;-;-
32002017027P2;http://www.ppgcc.ufv.br/;http://www.ppgcc.ufv.br/?page_id=697;http://www.ppgcc.ufv.br/?page_id=389;http://www.ppgcc.ufv.br/?page_id=66;-
32004010027P9;http://www.prpg.ufla.br/computacao/;http://www.prpg.ufla.br/computacao/corpo-docente-e-discente/docentes/;http://www.prpg.ufla.br/computacao/linha-de-pesquisa/;-;-
32005016034P8;http://www.ufjf.br/pgcc/;http://www.ufjf.br/pgcc/curso/corpo-docente/;http://www.ufjf.br/pgcc/curso/linhas-de-pesquisa/;http://www.ufjf.br/pgcc/dissertacoes/;-
32006012017P2;http://www.facom.ufu.br/posgrad/;http://www.facom.ufu.br/posgrad/;http://www.facom.ufu.br/posgrad/;http://www.facom.ufu.br/posgrad/;-
32007019023P9;http://www.decom.ufop.br/pos/inicio/;http://www.decom.ufop.br/pos/docentes/;http://www.decom.ufop.br/pos/pesquisa/;http://www.decom.ufop.br/pos/publicacao/dissertacoes/;-
51001012012P2;http://www.dct.ufms.br/index.php?section=education&course=mestrado;http://www.dct.ufms.br/index.php?section=teachers;-;-;-
15001016047P9;http://www.ufpa.br/ppgcc/ppgcc/;http://www.ufpa.br/ppgcc/ppgcc/files/File/Colegiado/lista_docentes.pdf;-;-;-
24009016005P0;http://www.computacao.ufcg.edu.br/pos-graduacao;http://www.computacao.ufcg.edu.br/pos-graduacao/professores-orientadores;-;http://www.computacao.ufcg.edu.br/pos-graduacao/dissertacoes;-
21001014031P2;http://www.sigaa.ufpi.br/sigaa/public/programa/portal.jsf?lc=pt_BR&id=615;http://www.sigaa.ufpi.br/sigaa/public/programa/equipe.jsf?lc=pt_BR&id=615;http://www.sigaa.ufpi.br/sigaa/public/programa/areas.jsf?lc=pt_BR&id=615;http://www.sigaa.ufpi.br/sigaa/public/programa/defesas.jsf?lc=pt_BR&id=615;-
40002012033P5;http://www.uel.br/pos/redes/index.php/mcc;http://www.uel.br/pos/redes/index.php/mcc/docentes;http://www.uel.br/pos/redes/index.php/mcc/linhaspesquisas;http://www.uel.br/pos/redes/index.php/mcc/defesas;-
40004015019P5;http://www.din.uem.br/pos-graduacao/mestrado-em-ciencia-da-computacao/;http://www.din.uem.br/pos-graduacao/mestrado-em-ciencia-da-computacao/curso;-;http://www.din.uem.br/pos-graduacao/mestrado-em-ciencia-da-computacao/dissertacoes-1;-
42005019016P8;http://www3.pucrs.br/portal/page/portal/facinppg/ppgcc;http://www3.pucrs.br/portal/page/portal/facinppg/ppgcc/ppgccEquipe#docente;http://www3.pucrs.br/portal/page/portal/facinppg/ppgcc/ppgccApresentacao;http://www3.pucrs.br/portal/page/portal/facinppg/ppgcc/teses-e-dissertassoes-2014|http://www3.pucrs.br/portal/page/portal/facinppg/ppgcc/ppgccTesesDefendidas;-
27001016029P4;https://www.sigaa.ufs.br/sigaa/public/programa/portal.jsf?id=710;https://www.sigaa.ufs.br/sigaa/public/programa/equipe.jsf?lc=pt_BR&id=710;https://www.sigaa.ufs.br/sigaa/public/programa/areas.jsf?lc=pt_BR&id=710;https://www.sigaa.ufs.br/sigaa/public/programa/defesas.jsf?lc=pt_BR&id=710;-
33001014008P4;http://ppgcc.dc.ufscar.br/;http://ppgcc.dc.ufscar.br/pessoas/docentes-1;-;-;-
33001014044P0;http://www.ppgccs.net/?page_id=192;http://www.ppgccs.net/?page_id=182;-;-;-
33002010176P0;http://www.ime.usp.br/dcc/pos;https://uspdigital.usp.br/janus/Orientadores?codare=45134&codcpg=45;http://www.ime.usp.br/dcc/areas;http://www.teses.usp.br/index.php?option=com_jumi&fileid=9&Itemid=159&lang=pt-br&id=45134&prog=45005&exp=0;-
33003017005P8;http://www.ic.unicamp.br/pos;http://www.ic.unicamp.br/node/28;http://www.ic.unicamp.br/pos/areas-de-pesquisa;-;-
33004153073P2;http://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/;http://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/corpo-docente/;-;http://www.ibilce.unesp.br/#!/pos-graduacao/programas-de-pos-graduacao/ciencia-da-computacao/dissertacoes-defendidas/;-
33009015079P0;http://www.sjc.unifesp.br/ppgcc/;http://www.sjc.unifesp.br/ppgcc/corpodocente;http://www.sjc.unifesp.br/ppgcc/linhas-de-pesquisa;-;-
33144010008P1;http://poscomp.ufabc.edu.br/;http://poscomp.ufabc.edu.br/?Docentes;http://poscomp.ufabc.edu.br/?Linhas_de_Pesquisa;http://poscomp.ufabc.edu.br/?Disserta%E7%F5es_Defendidas;-
33149011002P1;http://www.cc.faccamp.br//;http://www.cc.faccamp.br/corpodocente.php;http://www.cc.faccamp.br/areasdeinteresse.php;http://www.cc.faccamp.br/dissertacoes.php
23002018002P4;http://www2.ufersa.edu.br/posgraduacao/mcc2/index.php?option=com_content&task=view&id=21&Itemid=24;http://www2.ufersa.edu.br/posgraduacao/mcc2/index.php?option=com_content&task=view&id=4&Itemid=5;http://www2.ufersa.edu.br/posgraduacao/mcc2/index.php?option=com_content&task=view&id=3&Itemid=4;-;-
28001010090P1;http://wiki.dcc.ufba.br/MMCC;http://wiki.dcc.ufba.br/MMCC/DocentesPermanentes;http://wiki.dcc.ufba.br/PMCC/LinhasPesquisa;-;-
28001010061P1;http://www.posgraduacao.unifacs.br/archives/1685;http://wiki.dcc.ufba.br/PMCC/;-;-;-
51001012028P6;https://sistemas.ufms.br/sigpos/portal/cursos/view/cursoId:128;https://sistemas.ufms.br/sigpos/portal/docentes/index/cursoId:128;https://sistemas.ufms.br/sigpos/portal/linha_pesquisas/index/cursoId:128;-;-
32003013008P4;http://www.unifei.edu.br/pg/pos-graduacao-inicial?c=047&m=ME&lang=PT;http://www.unifei.edu.br/pg/pos-graduacao-docentes?c=047&m=ME&p=&lang=PT;http://www.unifei.edu.br/pg/pos-graduacao-areas-concentracao?c=047&m=ME&p=&lang=PT;http://www.unifei.edu.br/pg/pos-graduacao-monografias-dissertacoes-teses?c=047&m=ME&p=&lang=PT;-
22001018031P5;http://mdcc.ufc.br/;http://mdcc.ufc.br/corpodocente;http://mdcc.ufc.br/corpodocente;http://mdcc.ufc.br/linhas-de-pesquisa;http://mdcc.ufc.br/teses-e-dissertacoes
32001010004P6;http://www.dcc.ufmg.br/pos/;http://www.dcc.ufmg.br/pos/pessoas/professores2.php?tipo=PE|http://www.dcc.ufmg.br/pos/pessoas/professores2.php?tipo=CO;http://www.dcc.ufmg.br/pos/cursos/mestrado.php|http://www.dcc.ufmg.br/pos/cursos/doutorado.php
25001019004P6;http://www2.cin.ufpe.br/site/secao.php?s=3&c=31;http://www2.cin.ufpe.br/site/listaContatos.php?s=1&c=8|http://www2.cin.ufpe.br/site/secao.php?s=3&c=34;http://www2.cin.ufpe.br/site/secao.php?s=3&c=44;-;-
25001019062P6;http://www2.cin.ufpe.br/site/secao.php?s=3&c=116;-;-;-;-
41001010025P2;http://ppgcc.posgrad.ufsc.br/;http://ppgcc.posgrad.ufsc.br/corpo-docente-em-construcao-2/;http://ppgcc.posgrad.ufsc.br/linhas-de-pesquisa-2/;-;-
33002045004P1;http://conteudoweb.capes.gov.br/conteudoweb/ProjetoRelacaoCursosServlet?acao=pesquisarIes&codigoArea=10300007&descricaoArea=CI%CANCIAS+EXATAS+E+DA+TERRA+&descricaoAreaConhecimento=CI%CANCIA+DA+COMPUTA%C7%C3O&descricaoAreaAvaliacao=CI%CANCIA+DA+COMPUTA%C7%C3O;-;-;-;-
31003010046P4;http://www.ic.uff.br/index.php/pt/pos-graduacao;http://www.ic.uff.br/index.php/pt/pos-graduacao/corpo-docente;http://www.ic.uff.br/index.php/pt/pos-graduacao/areas-de-concentracao;http://www.ic.uff.br/index.php/pt/pos-graduacao/teses-e-dissertacoes;-
42001013004P4;http://ppgc.inf.ufrgs.br/;http://ppgc.inf.ufrgs.br/index.php?option=com_content&view=category&layout=blog&id=34&Itemid=54;http://ppgc.inf.ufrgs.br/index.php?option=com_content&view=category&layout=blog&id=53&Itemid=89;-;-
42003016038P9;http://inf.ufpel.edu.br/ppgc/;http://inf.ufpel.edu.br/ppgc/docentes;-;-;-
42004012022P1;http://ppgcomp.c3.furg.br/index.php?Itemid=1073&option=texto&id_site_componente=1521;http://ppgcomp.c3.furg.br/index.php?Itemid=1463&option=texto&id_site_componente=2145;-;-;-
41005015010P7;http://www.univali.br/ensino/pos-graduacao/mestrado/mestrado-em-computacao-aplicada/Paginas/default.aspx;http://www.univali.br/ensino/pos-graduacao/mestrado/mestrado-em-computacao-aplicada/orientadores/Paginas/default.aspx;-;-;-
22003010016P9;http://www.uece.br/mpcomp/;http://www.uece.br/mpcomp/index.php/corpo-docente;-;-;-
53001010098P3;http://www.cic.unb.br/index.php?option=com_content&view=frontpageplus&Itemid=6;http://www.cic.unb.br/index.php?option=com_qcontacts&view=category&catid=0&Itemid=10;-;-;-
51001012038P1;https://sistemas.ufms.br/sigpos/portal/cursos/view/cursoId:128;https://sistemas.ufms.br/sigpos/portal/docentes/index/cursoId:128;https://sistemas.ufms.br/sigpos/portal/cursos/view/cursoId:188;https://sistemas.ufms.br/sigpos/portal/cursos/view/cursoId:29;-
40006018011P7;http://ppgca.dainf.ct.utfpr.edu.br/doku.php;http://ppgca.dainf.ct.utfpr.edu.br/doku.php?id=corpo_docente;-;-;-
42007011006P5;http://www.unisinos.br/mestrado-e-doutorado/computacao-aplicada;http://www.unisinos.br/mestrado-e-doutorado/computacao-aplicada/presencial/sao-leopoldo/corpo-docente;-;-;-
42009014011P1;http://www.upf.br/ppgca/index.php/institucional/sobre-o-curso;http://www.upf.br/ppgca/index.php/institucional/corpo-docente;-;-;-
41002016023P2;http://www.cct.udesc.br/?id=289;http://www.cct.udesc.br/?id=347;-;-;-
25004018011P1;http://mestrado.ecomp.poli.br/;http://mestrado.ecomp.poli.br/index.php?option=com_content&task=view&id=17&Itemid=36;-;-;-
20002017004P9;http://www.mestrado.engcomp.uema.br/;http://www.mestrado.engcomp.uema.br/?page_id=8;-;-;-
31001017004P3;http://www.cos.ufrj.br/index.php?option=com_frontpage&Itemid=1;http://www.cos.ufrj.br/index.php?menu=2&option=com_content&task=view&id=25&Itemid=57;http://www.cos.ufrj.br/index.php?option=com_content&task=view&id=28&Itemid=60;-;-
25019015001P0;http://www.cesar.edu.br/mpes-sobre/;http://www.cesar.edu.br/mestrado_profissional/docentes.php;-;-;-
23001011071P0;http://www.imd.ufrn.br/mestradosw.php;-;-;-;-
26001012035P1;http://www.ufal.edu.br/unidadeacademica/ic/pos-graduacao/informatica;http://www.ufal.edu.br/unidadeacademica/ic/pos-graduacao/informatica/docentes;-;-;-
12001015012P2;http://icomp.ufam.edu.br/index.php?option=com_content&view=article&id=35&Itemid=40&lang=pt-br;http://icomp.ufam.edu.br/index.php?option=com_contact&view=category&id=42&Itemid=148&lang=pt-br;-;-;-
53001010054P6;http://www.cic.unb.br/index.php?option=com_content&view=category&layout=blog&id=7&Itemid=23;http://www.cic.unb.br/index.php?option=com_qcontacts&view=category&catid=0&Itemid=10;-;-;-
30001013007P0;http://ppgi.inf.ufes.br/;http://ppgi.inf.ufes.br/corpo-docente.php;-;-;-
32008015011P7;http://www.pucminas.br/pos/informatica/destaques.php;http://www.pucminas.br/pos/informatica/index-link.php?arquivo=docente&pagina=4164;-;-;-
24001015047P4;http://www.ppgi.di.ufpb.br/;http://www.ppgi.di.ufpb.br/?page_id=14;-;-;-
40001016034P5;http://web.inf.ufpr.br/pos;http://web.inf.ufpr.br/pos/docentes;-;-;-
40003019004P1;http://www.ppgia.pucpr.br/;http://www.ppgia.pucpr.br/;-;-;-
40006018025P8;http://www.utfpr.edu.br/cornelioprocopio/cursos/mestrados-doutorados/Ofertados-neste-Campus/ppgi;http://www.utfpr.edu.br/cornelioprocopio/cursos/mestrados-doutorados/Ofertados-neste-Campus/ppgi/corpo-docente;-;-;-
31001017110P8;https://sites.google.com/a/ppgi.ufrj.br/selecao/;-;-;-;-
31005012004P9;http://www.inf.puc-rio.br/?page_id=313;http://www.inf.puc-rio.br/?page_id=117|http://www.inf.puc-rio.br/?page_id=257;-;-;-
31021018009P9;http://www.unirio.br/cursos-1/pos-graduacao|http://www2.uniriotec.br/ppgi;http://www2.uniriotec.br/ppgi/informacoes-sobre-o-programa/Members;-;-;-
42002010036P3;http://w3.ufsm.br/ppgi/;http://w3.ufsm.br/ppgi/?page_id=52;-;-;-
22002014002P1;http://www.unifor.br/index.php?option=com_content&view=article&id=481&Itemid=879;http://www.unifor.br/index.php?option=com_content&view=article&id=485&Itemid=1006;-;-;-
25003011032P2;-;-;-;-;-
33002010214P0;http://ppgsi.each.usp.br/?lang=en;http://ppgsi.each.usp.br/orientador_ppgsi/?lang=en;-;-;-
28013018005P5;http://www.ppgcomp.unifacs.br/;http://www.ppgcomp.unifacs.br/index.php/corpo-docente;-;-;-
31007015009P3;http://www.comp.ime.eb.br/;http://www.comp.ime.eb.br/professores.htm;-;-;-
23001011022P9;http://www.sigaa.ufrn.br/sigaa/public/programa/portal.jsf?id=73;http://www.sigaa.ufrn.br/sigaa/public/programa/equipe.jsf?lc=pt_BR&id=73;-;-;-
